station_complex,station_complex_id,latitude,longitude
52 St (7),457,40.74415,-73.91255
77 St (R),37,40.62974,-74.02551
45 St (R),33,40.648937,-74.01001
3 Av (L),118,40.73285,-73.98612
176 St (4),385,40.84848,-73.9118
104 St (A),193,40.68171,-73.837685
Mosholu Pkwy (4),379,40.87975,-73.88466
71 St (D),64,40.61959,-73.99886
"Broadway (N,W)",4,40.76182,-73.92551
167 St (4),388,40.835537,-73.9214
116 St (6),393,40.79863,-73.94162
"174-175 Sts (B,D)",216,40.8459,-73.91013
"Tremont Av (B,D)",215,40.85041,-73.90523
Avenue J (Q),49,40.62504,-73.9608
79 St (D),65,40.613503,-74.00061
86 St (R),38,40.62269,-74.0284
Grant Av (A),189,40.677044,-73.86505
Junius St (3),349,40.663513,-73.90245
Halsey St (L),129,40.695602,-73.90408
Avenue P (F),249,40.608944,-73.97302
Alabama Av (J),91,40.67699,-73.89865
18 Av (D),66,40.607952,-74.00174
53 St (R),34,40.64507,-74.01403
"Briarwood (E,F)",258,40.70918,-73.82057
111 St (7),449,40.75173,-73.85533
"36 Av (N,W)",5,40.756805,-73.92957
York St (F),235,40.701397,-73.98675
28 St (1),319,40.747215,-73.99336
Fordham Rd (4),382,40.862804,-73.90103
"Bowery (J,Z)",103,40.72028,-73.99391
"219 St (2,5)",420,40.883896,-73.86263
"Wall St (4,5)",413,40.707558,-74.01186
Avenue N (F),248,40.61514,-73.9742
"116 St (2,3)",440,40.802097,-73.94962
Buhre Av (6),361,40.84681,-73.832565
Kingston Av (3),344,40.6694,-73.94216
"65 St (M,R)",268,40.74967,-73.89845
25 Av (D),69,40.597706,-73.98683
231 St (1),295,40.878857,-73.90483
Junction Blvd (7),451,40.749146,-73.86953
DeKalb Av (L),127,40.70381,-73.91843
96 St (Q),475,40.784317,-73.94715
"67 Av (M,R)",262,40.726524,-73.85272
"36 St (M,R)",272,40.75204,-73.92878
Avenue X (F),252,40.58962,-73.97425
Dyckman St (A),144,40.86549,-73.92727
"170 St (B,D)",217,40.839306,-73.9134
69 St (7),455,40.746326,-73.8964
57 St (F),224,40.763973,-73.97745
1 Av (L),119,40.730953,-73.98163
103 St (6),395,40.7906,-73.94748
Ocean Pkwy (Q),56,40.576313,-73.9685
2 Av (F),232,40.7234,-73.98994
96 St (6),396,40.78567,-73.95107
"High St (A,C)",173,40.699337,-73.99053
Ditmas Av (F),244,40.63612,-73.97817
Woodlawn (4),378,40.886036,-73.87875
Elder Av (6),369,40.828583,-73.87916
238 St (1),294,40.884666,-73.90087
"233 St (2,5)",418,40.893192,-73.857475
50 St (D),61,40.63626,-73.99479
"8 St-NYU (R,W)",16,40.730328,-73.99263
Park Pl (S),141,40.67477,-73.95763
"Jackson Av (2,5)",433,40.81649,-73.90781
191 St (1),300,40.855225,-73.92941
207 St (1),298,40.86462,-73.91882
111 St (A),194,40.68433,-73.83216
"103 St (C,B)",156,40.796093,-73.96146
72 St (Q),477,40.7688,-73.95843
Seneca Av (M),111,40.702763,-73.90774
Bedford Av (L),120,40.717304,-73.95687
Rockaway Blvd (A),192,40.680428,-73.84386
110 St (6),394,40.79502,-73.94425
88 St (A),191,40.679844,-73.85147
"36 St (D,N,R)",32,40.655144,-74.00355
28 St (6),404,40.74307,-73.98426
21 St (G),282,40.744064,-73.94972
20 Av (D),67,40.604557,-73.99817
"104 St (J,Z)",82,40.69518,-73.84433
8 Av (N),71,40.635063,-74.01172
Cortelyou Rd (Q),46,40.640926,-73.96389
"Kingsbridge Rd (B,D)",212,40.866978,-73.89351
